N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.66,120.90,0.0,CPU bound,2.66,120.90,28.12418969634937,,116.30,95.32,76.2,72.0,0.0,0.0,0.0,76.20,76.2,72.0,7.0,0.0,0.0,79.00,96.52,44.1,54.8,1.1,0.0,0.1,7.92,1.04,8.96,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,2.63,119.54,76.93784268916914,CPU bound,2.66,120.90,52.23063800750598,,92.80,102.28,76.2,72.0,19.1,21.7,0.0,112.83,76.2,72.0,13.0,14.0,0.0,99.00,89.95,38.0,40.0,17.4,24.9,0.1,129.60,9.52,139.12,90.48,9.04,99.52,.08,.08,.16,141.75,11.37,153.12,75.37,11.37,86.74,0,0,0,96.00,8.00,104.00,48.00,8.00,56.00,0,0,0
30,2.66,120.90,62.45206517895383,CPU bound,2.66,120.90,52.23063800750598,,92.80,93.38,76.2,72.0,15.5,17.7,0.0,105.21,76.2,72.0,13.0,14.0,0.0,99.00,98.52,37.0,37.8,16.5,21.5,0.1,122.16,9.60,131.76,76.80,9.36,86.16,.08,.08,.16,115.00,9.37,124.37,61.37,9.37,70.74,0,0,0,96.00,8.00,104.00,48.00,8.00,56.00,0,0,0
40,2.66,120.90,62.271617966195194,CPU bound,2.66,120.90,64.7580372250423,,82.77,92.57,76.2,72.0,15.5,22.9,0.0,110.36,76.2,72.0,13.0,26.0,0.0,111.00,99.38,36.7,37.0,15.5,31.0,0.1,115.44,8.72,124.16,115.60,8.56,124.16,.08,.08,.16,114.62,9.37,123.99,82.00,9.37,91.37,0,0,0,96.00,8.00,104.00,96.00,8.00,104.00,0,0,0
50,2.66,120.90,71.54722307607926,CPU bound,2.66,120.90,64.7580372250423,,82.77,112.01,76.2,72.0,14.4,28.7,0.0,115.10,76.2,72.0,13.0,26.0,0.0,111.00,82.14,38.3,39.3,15.0,30.5,0.1,111.36,8.80,120.16,113.36,8.72,122.08,.08,0,.08,106.25,8.75,115.00,106.12,8.75,114.87,0,0,0,96.00,8.00,104.00,96.00,8.00,104.00,0,0,0
60,2.66,120.90,72.58644421619397,CPU bound,2.66,120.90,64.7580372250423,,82.77,112.82,76.2,72.0,14.6,29.1,0.0,115.71,76.2,72.0,13.0,26.0,0.0,111.00,81.54,37.9,38.5,14.6,29.7,0.4,108.16,8.64,116.80,110.24,8.32,118.56,.56,.08,.64,107.62,8.87,116.49,107.62,8.87,116.49,0,0,0,96.00,8.00,104.00,96.00,8.00,104.00,0,0,0
70,2.23,101.36,90.68712802383318,0.18,2.47,112.27,81.85898709036742,0.20,64.11,92.54,76.2,72.0,13.9,27.9,35.8,149.62,76.2,72.0,13.0,26.0,32.3,143.30,99.42,37.8,38.0,14.6,28.9,17.7,108.16,8.72,116.88,107.28,8.56,115.84,27.04,3.68,30.72,103.12,8.50,111.62,103.12,8.50,111.62,53.37,8.75,62.12,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
80,0.97,44.09,209.26968488570455,0.03,2.47,112.27,81.85898709036742,0.20,64.11,70.96,76.2,72.0,49.2,28.3,35.3,184.77,76.2,72.0,13.0,26.0,32.3,143.30,129.66,37.9,37.6,17.1,28.3,31.6,128.08,9.04,137.12,104.88,8.24,113.12,47.68,7.20,54.88,361.37,32.00,393.37,104.50,8.62,113.12,52.62,8.62,61.24,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
90,2.33,105.90,86.90477505461769,0.19,2.47,112.27,81.85898709036742,0.20,64.11,73.18,76.2,72.0,13.7,27.4,34.3,147.44,76.2,72.0,13.0,26.0,32.3,143.30,125.71,37.5,37.3,15.4,28.1,35.3,114.16,8.80,122.96,104.16,8.40,112.56,52.80,8.48,61.28,101.37,8.37,109.74,101.37,8.37,109.74,51.12,8.37,59.49,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
100,2.31,105.00,87.77669020854022,0.18,2.47,112.27,81.85898709036742,0.20,64.11,74.36,76.2,72.0,16.0,27.8,34.6,150.43,76.2,72.0,13.0,26.0,32.3,143.30,123.72,37.4,37.0,16.1,27.9,35.2,120.24,8.72,128.96,103.28,8.08,111.36,52.72,8.24,60.96,119.50,8.50,128.00,102.62,8.50,111.12,51.62,8.50,60.12,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
