N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,10.43,1490.00,CPU bound,10.43,1490.00,,1489.65,388.66,12.0,14.5,0.0,0.0,0.0,14.5 ,12.0,14.5,0.0,0.0,0.0,14.5 ,55.58,50.0,33.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10.43,1490.00,CPU bound,10.43,1490.00,,1053.26,398.81,12.0,14.5,7.2,0.0,0.0,21.7 ,12.0,14.5,6.0,0.0,0.0,20.5 ,54.16,50.1,30.4,7.3,0.0,0.0,20.08,9.12,29.20,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,9.00,1285.71,0.26,10.15,1450.00,0.29,815.09,406.90,12.0,14.5,6.8,6.8,0.0,28.0 ,12.0,14.5,6.0,6.0,0.0,26.5 ,53.08,24.4,16.1,7.4,6.9,0.0,20.72,8.72,29.44,18.96,8.64,27.60,0,0,0,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,8.42,1202.85,0.16,8.95,1278.57,0.17,708.19,361.18,12.0,14.5,10.6,6.5,0.0,31.7 ,12.0,14.5,10.0,6.0,0.0,30.5 ,59.80,19.8,14.7,10.7,6.6,0.0,34.40,8.48,42.88,18.16,8.40,26.56,0,0,0,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,8.50,1214.28,0.17,8.95,1278.57,0.17,708.19,399.15,12.0,14.5,10.5,6.4,0.0,31.5 ,12.0,14.5,10.0,6.0,0.0,30.5 ,54.12,21.5,14.2,10.6,6.5,0.0,33.92,8.40,42.32,17.84,8.32,26.16,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,8.58,1225.71,0.17,8.95,1278.57,0.17,708.19,365.78,12.0,14.5,10.4,6.4,0.0,31.4 ,12.0,14.5,10.0,6.0,0.0,30.5 ,59.05,19.1,13.6,10.5,6.6,0.0,33.60,8.32,41.92,18.32,8.24,26.56,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,8.63,1232.85,0.17,8.95,1278.57,0.17,708.19,358.93,12.0,14.5,10.4,6.4,0.0,31.3 ,12.0,14.5,10.0,6.0,0.0,30.5 ,60.18,16.6,12.7,10.4,7.9,0.0,33.36,8.24,41.60,23.20,8.24,31.44,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,8.68,1240.00,0.17,8.95,1278.57,0.17,708.19,385.54,12.0,14.5,10.3,6.5,0.0,31.3 ,12.0,14.5,10.0,6.0,0.0,30.5 ,56.02,19.0,13.1,10.5,9.4,0.0,33.68,8.24,41.92,29.44,8.16,37.60,0,0,0,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,8.71,1244.28,0.17,8.95,1278.57,0.17,708.19,368.88,12.0,14.5,10.3,6.5,0.0,31.3 ,12.0,14.5,10.0,6.0,0.0,30.5 ,58.56,16.9,12.5,10.3,10.0,0.0,33.20,8.16,41.36,31.84,8.16,40.00,0,0,0,32.87,8.25,41.12,17.87,8.12,25.99,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,5.49,784.28,0.17,5.51,787.14,0.17,626.08,378.91,12.0,14.5,10.3,10.0,0.0,34.8 ,12.0,14.5,10.0,10.0,0.0,34.5 ,57.01,18.5,12.8,10.3,10.2,1.1,32.96,8.16,41.12,32.80,8.16,40.96,1.44,.72,2.16,32.87,8.12,40.99,32.00,8.12,40.12,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
110,5.39,770.00,0.17,5.08,725.71,0.29,458.59,361.40,12.0,14.5,10.2,10.2,1.4,36.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,59.77,17.2,12.3,10.3,10.2,5.2,32.88,8.16,41.04,32.72,8.08,40.80,6.64,3.28,9.92,32.75,8.12,40.87,32.75,8.12,40.87,1.37,1.37,2.74,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
120,4.96,708.57,0.29,5.08,725.71,0.29,458.59,343.54,12.0,14.5,10.2,10.2,12.9,47.8 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.87,16.3,12.2,10.2,10.2,10.4,32.80,8.16,40.96,32.56,8.08,40.64,13.28,6.64,19.92,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,4.97,710.00,0.29,5.08,725.71,0.29,458.59,352.24,12.0,14.5,10.2,10.2,12.8,47.7 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.32,17.2,12.2,10.2,10.1,12.1,32.80,8.16,40.96,32.24,8.00,40.24,15.52,7.68,23.20,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,4.97,710.00,0.29,5.08,725.71,0.29,458.59,344.36,12.0,14.5,10.2,10.2,12.8,47.7 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.72,16.6,12.1,10.2,10.1,12.8,32.72,8.16,40.88,32.40,8.00,40.40,16.32,8.00,24.32,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,4.99,712.85,0.29,5.08,725.71,0.29,458.59,339.23,12.0,14.5,10.2,10.2,12.8,47.6 ,12.0,14.5,10.0,10.0,12.6,47.1 ,63.67,15.7,11.8,10.2,10.1,12.9,32.64,8.08,40.72,32.48,8.00,40.48,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,4.99,712.85,0.29,5.08,725.71,0.29,458.59,358.11,12.0,14.5,10.2,10.2,12.8,47.6 ,12.0,14.5,10.0,10.0,12.6,47.1 ,60.32,16.8,12.0,10.3,10.1,12.9,33.04,8.08,41.12,32.40,8.00,40.40,16.56,8.16,24.72,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,5.00,714.28,0.29,5.08,725.71,0.29,458.59,345.50,12.0,14.5,10.1,10.1,12.8,47.6 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.52,15.8,11.8,10.2,10.1,12.9,32.56,8.08,40.64,32.40,8.00,40.40,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,5.00,714.28,0.29,5.08,725.71,0.29,458.59,349.47,12.0,14.5,10.1,10.1,12.8,47.5 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.81,16.8,12.0,10.2,10.1,12.9,32.56,8.08,40.64,32.32,8.00,40.32,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,5.01,715.71,0.29,5.08,725.71,0.29,458.59,348.20,12.0,14.5,10.1,10.1,12.7,47.5 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.03,16.2,11.8,10.2,10.1,12.9,32.56,8.08,40.64,32.32,8.00,40.32,16.48,8.08,24.56,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,5.01,715.71,0.29,5.08,725.71,0.29,458.59,342.38,12.0,14.5,10.1,10.1,12.7,47.5 ,12.0,14.5,10.0,10.0,12.6,47.1 ,63.09,15.6,11.7,10.1,10.1,12.9,32.48,8.08,40.56,32.32,8.00,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,5.01,715.71,0.29,5.08,725.71,0.29,458.59,349.66,12.0,14.5,10.1,10.1,12.7,47.5 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.77,16.2,11.7,10.1,10.1,12.8,32.48,8.08,40.56,32.32,8.00,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,5.01,715.71,0.29,5.08,725.71,0.29,458.59,343.28,12.0,14.5,10.1,10.1,12.8,47.5 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.92,15.9,11.7,10.1,10.1,12.8,32.48,8.08,40.56,32.32,8.00,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,5.02,717.14,0.29,5.08,725.71,0.29,458.59,341.64,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,63.23,15.3,11.5,10.1,10.1,12.8,32.48,8.08,40.56,32.32,8.00,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,5.02,717.14,0.29,5.08,725.71,0.29,458.59,348.92,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.91,16.1,11.7,10.2,10.1,12.8,32.88,8.08,40.96,32.24,8.00,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,5.02,717.14,0.29,5.08,725.71,0.29,458.59,339.59,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,63.61,15.5,11.5,10.2,10.0,12.8,32.56,8.08,40.64,32.24,8.00,40.24,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,5.01,715.71,0.29,5.08,725.71,0.29,458.42,347.01,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.25,16.3,11.7,10.1,10.0,12.8,32.48,8.08,40.56,32.16,8.00,40.16,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,5.04,720.00,0.29,5.08,725.71,0.29,458.59,350.76,12.0,14.5,10.1,10.1,12.7,47.3 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.58,15.7,11.5,10.1,10.0,12.8,32.40,8.08,40.48,32.16,7.92,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,5.03,718.57,0.29,5.08,725.71,0.29,458.59,348.92,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.90,15.3,11.5,10.1,10.0,12.8,32.40,8.08,40.48,32.16,8.00,40.16,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,5.03,718.57,0.29,5.08,725.71,0.29,458.42,351.01,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,61.54,15.7,11.5,10.1,10.1,12.8,32.48,8.08,40.56,32.24,8.00,40.24,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,5.02,717.14,0.29,5.08,725.71,0.29,458.59,346.10,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.41,15.6,11.5,10.1,10.0,12.8,32.48,8.08,40.56,32.16,8.00,40.16,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,5.03,718.57,0.29,5.08,725.71,0.29,458.59,346.51,12.0,14.5,10.1,10.1,12.7,47.3 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.34,15.1,11.4,10.1,10.0,12.8,32.48,8.08,40.56,32.16,7.92,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,5.03,718.57,0.29,5.08,725.71,0.29,458.59,355.15,12.0,14.5,10.1,10.1,12.7,47.3 ,12.0,14.5,10.0,10.0,12.6,47.1 ,60.82,15.7,11.5,10.2,10.0,12.8,32.64,8.08,40.72,32.16,7.92,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,5.03,718.57,0.29,5.08,725.71,0.29,458.59,346.96,12.0,14.5,10.1,10.1,12.7,47.3 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.26,15.2,11.4,10.1,10.0,12.8,32.48,8.08,40.56,32.16,8.00,40.16,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
340,5.02,717.14,0.29,5.08,725.71,0.29,458.59,347.63,12.0,14.5,10.1,10.1,12.7,47.4 ,12.0,14.5,10.0,10.0,12.6,47.1 ,62.13,15.8,11.5,10.1,10.0,12.8,32.48,8.08,40.56,32.16,8.00,40.16,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
