,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.73,1532.85,CPU bound,10.73,1532.85,,1532.66,347.08,12.0,8.0,0.0,0.0,0.0,12.0 ,12.0,8.0,0.0,0.0,0.0,12.0 ,53.01,48.7,37.9,0.3,0.0,0.0,.80,.32,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6.54,934.28,0.18,8.75,1250.00,0.22,1150.00,357.92,12.0,8.0,9.5,0.0,0.0,17.5 ,12.0,8.0,8.0,0.0,0.0,16.0 ,51.41,49.0,34.6,9.7,1.5,0.0,29.52,9.12,38.64,5.20,.80,6.00,0,0,0,29.00,9.12,38.12,0,0,0,0,0,0,24.00,8.00,32.00,0,0,0,0,0,0
30,5.14,734.28,0.14,5.19,741.42,0.15,656.85,587.69,12.0,8.0,12.1,8.9,0.0,29.0 ,12.0,8.0,12.0,8.0,0.0,28.0 ,31.31,18.2,16.2,10.0,9.2,0.0,31.44,8.64,40.08,28.16,8.64,36.80,0,0,0,39.75,8.62,48.37,27.12,8.62,35.74,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
40,4.89,698.57,0.14,5.19,741.42,0.15,656.85,655.05,12.0,8.0,12.7,8.6,0.0,29.4 ,12.0,8.0,12.0,8.0,0.0,28.0 ,28.09,18.7,14.1,12.9,8.9,0.0,42.96,8.48,51.44,27.12,8.40,35.52,0,0,0,42.50,8.37,50.87,26.12,8.37,34.49,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
50,4.93,704.28,0.14,5.19,741.42,0.15,656.85,651.98,12.0,8.0,12.6,8.5,0.0,29.2 ,12.0,8.0,12.0,8.0,0.0,28.0 ,28.22,15.7,12.8,12.7,8.8,0.0,42.32,8.40,50.72,26.96,8.32,35.28,0,0,0,42.12,8.37,50.49,25.75,8.37,34.12,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
60,4.98,711.42,0.14,5.19,741.42,0.15,656.85,649.40,12.0,8.0,12.5,8.5,0.0,29.0 ,12.0,8.0,12.0,8.0,0.0,28.0 ,28.33,16.6,12.8,12.6,9.1,0.0,42.00,8.32,50.32,28.08,8.24,36.32,0,0,0,41.75,8.25,50.00,25.75,8.25,34.00,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
70,5.01,715.71,0.14,5.19,741.42,0.15,656.85,674.60,12.0,8.0,12.4,8.5,0.0,28.9 ,12.0,8.0,12.0,8.0,0.0,28.0 ,27.28,14.6,10.7,12.5,10.6,0.0,41.60,8.24,49.84,34.16,8.08,42.24,0,0,0,41.50,8.25,49.75,25.75,8.25,34.00,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
80,4.65,664.28,0.17,5.19,741.42,0.15,656.85,687.32,12.0,8.0,12.4,10.2,0.0,30.6 ,12.0,8.0,12.0,8.0,0.0,28.0 ,26.77,15.3,11.5,12.4,9.9,0.0,41.44,8.24,49.68,31.44,8.16,39.60,.08,0,.08,41.25,8.25,49.50,32.75,8.25,41.00,0,0,0,40.00,8.00,48.00,24.00,8.00,32.00,0,0,0
