N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,7.04,370.52,CPU bound,7.04,370.52,,266.54,122.15,47.5,46.0,12.6,0.0,0.0,58.6 ,47.5,46.0,20.0,0.0,0.0,66.0 ,144.08,67.3,92.0,18.7,0.0,0.3,65.28,9.60,74.88,0,0,0,.32,.24,.56,45.00,5.37,50.37,0,0,0,0,0,0,72.00,8.00,80.00,0,0,0,0,0,0
20,4.62,243.15,0.20,5.47,287.89,0.24,187.14,140.52,47.5,46.0,30.7,23.7,0.0,100.3 ,47.5,46.0,28.0,20.0,0.0,94.0 ,125.25,50.4,70.1,31.8,30.0,0.2,116.72,10.56,127.28,110.16,9.92,120.08,.24,.24,.48,112.62,10.00,122.62,85.37,9.25,94.62,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
30,4.59,241.57,0.20,5.47,287.89,0.24,187.14,160.43,47.5,46.0,32.8,23.9,0.0,102.7 ,47.5,46.0,28.0,20.0,0.0,94.0 ,109.71,36.5,51.5,33.3,24.6,0.2,123.84,9.36,133.20,89.68,8.80,98.48,.24,.24,.48,121.87,9.25,131.12,86.25,9.25,95.50,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
40,0.93,48.94,0.03,5.47,287.89,0.24,187.14,147.35,47.5,46.0,171.3,22.7,0.0,240.1 ,47.5,46.0,28.0,20.0,0.0,94.0 ,119.44,39.0,53.3,35.4,24.1,0.2,131.76,9.92,141.68,88.00,8.64,96.64,.24,.24,.48,621.37,64.00,685.37,82.00,8.87,90.87,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
50,4.55,239.47,0.20,5.47,287.89,0.24,187.14,170.11,47.5,46.0,30.7,24.0,0.0,100.7 ,47.5,46.0,28.0,20.0,0.0,94.0 ,103.46,32.9,46.5,31.0,25.6,0.2,115.20,8.80,124.00,94.08,8.16,102.24,.24,.24,.48,114.00,8.75,122.75,87.50,8.75,96.25,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
60,3.64,191.57,0.16,3.91,205.78,0.17,172.47,164.64,47.5,46.0,30.2,30.1,0.0,106.2 ,47.5,46.0,28.0,28.0,0.0,102.0 ,106.90,35.3,48.5,30.6,28.7,0.2,113.44,8.72,122.16,106.40,8.24,114.64,.24,.24,.48,112.00,8.62,120.62,111.62,8.62,120.24,0,0,0,104.00,8.00,112.00,104.00,8.00,112.00,0,0,0
70,3.67,193.15,0.16,3.91,205.78,0.17,172.47,169.11,47.5,46.0,29.8,29.8,0.0,105.7 ,47.5,46.0,28.0,28.0,0.0,102.0 ,104.08,31.5,44.5,30.2,28.5,2.6,112.08,8.64,120.72,106.00,8.08,114.08,5.28,.80,6.08,110.87,8.50,119.37,110.87,8.50,119.37,0,0,0,104.00,8.00,112.00,104.00,8.00,112.00,0,0,0
80,,,,2.89,152.10,0.24,129.25,127.51,47.5,46.0,210.2,151.6,35.8,443.7 ,47.5,46.0,28.0,28.0,34.1,136.1 ,138.03,34.2,46.3,36.4,29.2,24.7,136.24,9.36,145.60,109.12,7.52,116.64,51.92,6.00,57.92,776.87,64.00,840.87,550.87,55.62,606.49,75.75,8.37,84.12,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
90,2.75,144.73,0.23,2.89,152.10,0.24,129.25,121.01,47.5,46.0,29.4,29.4,35.8,140.7 ,47.5,46.0,28.0,28.0,34.1,136.1 ,145.44,31.1,43.5,29.6,29.4,33.8,110.00,8.56,118.56,109.28,8.16,117.44,71.04,8.40,79.44,109.25,8.37,117.62,109.25,8.37,117.62,75.75,8.37,84.12,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
100,2.76,145.26,0.23,2.89,152.10,0.24,129.25,112.64,47.5,46.0,29.2,29.2,35.6,140.1 ,47.5,46.0,28.0,28.0,34.1,136.1 ,156.25,32.6,45.0,29.4,29.1,36.0,109.28,8.40,117.68,108.40,8.08,116.48,76.08,8.64,84.72,108.62,8.37,116.99,108.62,8.37,116.99,75.37,8.37,83.74,104.00,8.00,112.00,104.00,8.00,112.00,72.00,8.00,80.00
