;kerncraft: Roofline w. Cache Sim.;;kerncraft: Roofline w. LC;;kerncraft: ECM w. Cache Sim.;;kerncraft: ECM w. LC;;kerncraft: Bench;;;;L1;;;;L2;;;;L3;;;
;GFLOP/s;FLOP/Byte;GFLOP/s;FLOP/Byte;ECM;cy/CL C.S.;ECM;cy/CL;cy/CL Bench;MLUP/s;MLUP/s;MLUP/s;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP;B/LUP
N(^3);C. Sim.;Arithmetic Intensity;Layer C.;Arithmetic Intensity;C. Sim.;C. Sim.;L. Cond.;L. Cond.;Bench;Bench;C. Sim.;L. Cond.;access;load;evict;total;access;load;evict;total;access;load;evict;total
10;;;16.12;;;;{ 8.3 || 7.0 | 0.0 | 0.0 | 0.0 } cy/CL;8.3;30.19;635.87;;2302.85714285714;0.076862104580501;0.8;0.8;0;0.8;0.8;0.8;0;0.8;0.8;0.8;0
20;11.27;0.25;13.14;0.29;{ 8.3 || 7.0 | 3.5 | 0.0 | 0.0 } cy/CL;10.5;{ 8.3 || 7.0 | 3.0 | 0.0 | 0.0 } cy/CL;10;46.07;416.76;1610;1877.14285714286;0.07416162599365;0.775945683802134;0.788760167611536;28.96;0.775945683802134;0.8;0.8;0;0.8;0.8;0.8;0
30;13.49;0.35;13.14;0.29;{ 8.3 || 7.0 | 2.5 | 0.0 | 0.0 } cy/CL;9.5;{ 8.3 || 7.0 | 3.0 | 0.0 | 0.0 } cy/CL;10;26.46;725.54;1927.14285714286;1877.14285714286;0.077123300877278;0.774818401937046;0.78924651621655;29.52;0.774818401937046;0.8;0.8;0;0.8;0.8;0.8;0
40;6.75;0.17;6.75;0.17;{ 8.3 || 7.0 | 5.0 | 0.0 | 0.0 } cy/CL;12;{ 8.3 || 7.0 | 5.0 | 0.0 | 0.0 } cy/CL;12;23.94;802.03;964.285714285714;964.285714285714;0.077544739679886;0.759193357058126;0.78953861337281;42.88;0.759193357058126;0.788371520078837;0.796217964667828;12.48;0.788371520078837;0.8;0.8;0
50;6.16;0.22;6.75;0.17;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;23.54;815.52;880;964.285714285714;0.077744439450444;0.759824290632791;0.789636027143738;42.24;0.759824290632791;0.778873068029694;0.778494100474395;35.04;0.778873068029694;0.8;0.8;0
60;6.16;0.22;6.75;0.17;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;21.46;894.6;880;964.285714285714;0.077758608120915;0.760095011876485;0.789733464955577;41.92;0.760095011876485;0.778873068029694;0.778873068029694;34.72;0.778873068029694;0.8;0.8;0
70;6.16;0.22;6.75;0.17;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;18.32;1048.18;880;964.285714285714;0.078136445768423;0.760456273764259;0.789830926817228;41.52;0.760456273764259;0.779062690200852;0.779062690200852;34.4;0.779062690200852;0.8;0.8;0
80;6.16;0.22;6.75;0.17;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;{ 8.3 || 7.0 | 5.0 | 8.0 | 0.0 } cy/CL;20;18.87;1017.57;880;964.285714285714;0.077979359838193;0.760456273764259;0.789830926817228;41.52;0.760456273764259;0.779252404724218;0.779252404724218;34.08;0.779252404724218;0.8;0.8;0
