,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.73,1532.85,CPU bound,10.73,1532.85,,1532.66,370.27,12.0,7.5,0.0,0.0,0.0,12.0 ,12.0,7.5,0.0,0.0,0.0,12.0 ,49.69,48.6,33.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10.42,1488.57,CPU bound,10.73,1532.85,,1362.96,363.55,12.0,7.5,7.2,0.0,0.0,14.7 ,12.0,7.5,6.0,0.0,0.0,13.5 ,50.61,49.0,30.4,7.3,0.0,0.0,20.00,9.12,29.12,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,8.15,1164.28,0.26,9.20,1314.28,0.29,943.17,658.46,12.0,7.5,6.8,6.8,0.0,21.0 ,12.0,7.5,6.0,6.0,0.0,19.5 ,27.94,18.0,14.1,7.3,6.5,0.0,20.72,8.72,29.44,18.08,7.92,26.00,0,0,0,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,6.05,864.28,0.16,6.44,920.00,0.17,782.63,707.04,12.0,7.5,10.6,6.5,0.0,24.7 ,12.0,7.5,10.0,6.0,0.0,23.5 ,26.02,18.7,12.3,10.7,6.7,0.0,34.32,8.48,42.80,18.16,8.48,26.64,0,0,0,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,6.11,872.85,0.17,6.44,920.00,0.17,782.97,720.63,12.0,7.5,10.5,6.4,0.0,24.5 ,12.0,7.5,10.0,6.0,0.0,23.5 ,25.53,15.6,11.1,10.6,6.6,0.0,33.84,8.40,42.24,18.00,8.32,26.32,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,6.17,881.42,0.17,6.44,920.00,0.17,782.97,766.12,12.0,7.5,10.4,6.4,0.0,24.4 ,12.0,7.5,10.0,6.0,0.0,23.5 ,24.02,16.4,11.1,10.5,6.7,0.0,33.60,8.32,41.92,18.40,8.24,26.64,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,6.21,887.14,0.17,6.44,920.00,0.17,782.97,779.95,12.0,7.5,10.4,6.4,0.0,24.3 ,12.0,7.5,10.0,6.0,0.0,23.5 ,23.59,14.5,9.4,10.4,8.0,0.0,33.28,8.24,41.52,23.60,8.24,31.84,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,6.24,891.42,0.17,6.44,920.00,0.17,782.63,725.82,12.0,7.5,10.3,6.5,0.0,24.3 ,12.0,7.5,10.0,6.0,0.0,23.5 ,25.35,15.2,10.1,10.4,9.2,0.0,33.28,8.24,41.52,28.64,8.16,36.80,0,0,0,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
